"UNIQUE_REFERENCE_NUMBER"|"NAME"|"POINTX_CLASSIFICATION_CODE"|"FEATURE_EASTING"|"FEATURE_NORTHING"|"POSITIONAL_ACCURACY_CODE"|"UPRN"|"TOPOGRAPHIC_TOID"|"TOPOGRAPHIC_TOID_VERSION"|"USRN"|"USRN_MATCH_INDICATOR"|"DISTANCE"|"ADDRESS_DETAIL"|"STREET_NAME"|"LOCALITY"|"GEOGRAPHIC_COUNTY"|"POSTCODE"|"ADMINISTRATIVE_BOUNDARY"|"TELEPHONE_NUMBER"|"URL"|"BRAND"|"QUALIFIER_TYPE"|"QUALIFIER_DATA"|"PROVENANCE"|"DATE_OF_SUPPLY"
161929851|"Clarence Food & Wine"|"07400530"|331451.0|188467.0|1|100101046563|"osgb1000027573510"|3|27100340|1|25.2|"26-28"|"Clarence Place"|"Newport"|"Gwent"|"NP19 0AE"|"Casnewydd - Newport"|"07830192382"|""|""|""|""|"118 Information"|"01-SEP-2021"
165165927|"Ezon"|"09480685"|331780.0|188272.0|1|100100668148|"osgb1000027572797"|4|27100687|1|13.3|"10"|"Harrow Road"|"Newport"|"Gwent"|"NP19 0BT"|"Casnewydd - Newport"|"01633786114"|""|""|""|""|"118 Information"|"01-SEP-2021"
63985112|"Electricity Sub Station"|"06340433"|331896.0|188034.0|1||"osgb1000002059192789"|6|27100398|3|42.0|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
68595780|"Letter Box"|"06340457"|331499.0|188635.0|1||"osgb1000002059187043"|7|27101456|3|5.8|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
76297137|"Playground"|"03180255"|331446.0|187412.0|1||"osgb1000002059181209"|6|27101266|3|16.0|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
78428950|"Works"|"07410542"|331508.0|187497.0|2||"Not Assigned"|0|27101037|3|15.2|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
78429162|"Works"|"07410542"|331740.0|188717.0|2||"Not Assigned"|0|27100238|3|55.2|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
78431151|"Works"|"07410542"|331554.0|187659.0|2||"Not Assigned"|0|27101168|3|32.6|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
78431152|"Works"|"07410542"|331507.0|187650.0|2||"Not Assigned"|0|27101168|3|8.3|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
127063823|"Electricity Sub Station"|"06340433"|331410.0|188427.0|2||"Not Assigned"|0|27101359|3|22.7|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
127071960|"Electricity Sub Station"|"06340433"|331678.0|188054.0|1||"osgb5000005130758980"|2|27101241|3|8.6|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
133922165|"Car Park"|"10540736"|331852.0|187564.0|2||"Not Assigned"|0|27101493|3|69.9|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
133921736|"Car Park"|"10540736"|331402.0|187831.0|2||"Not Assigned"|0|27100823|3|15.1|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
159790083|"Outfall"|"06340441"|331861.4|187450.0|2||"Not Assigned"|0|27101493|3|42.1|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
159844443|"Mast (Telecommunication)"|"06340443"|331613.6|188625.2|2||"Not Assigned"|0|27101456|3|41.3|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
159983036|"Pumping Station"|"07410543"|331857.4|187410.7|2||"Not Assigned"|0|27101493|3|22.0|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
159983744|"Play Area"|"03180255"|331514.2|187735.9|2||"Not Assigned"|0|27100480|3|5.2|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
161059738|"Ebbw Vale Wharf"|"10560753"|331537.4|187916.8|2||"Not Assigned"|0|27101493|3|57.4|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
161095434|"Blaenavon Wharf"|"10560753"|331401.9|188032.0|2||"Not Assigned"|0|27101493|3|23.2|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
161123604|"Gloucester Wharf (Disused)"|"10560753"|331872.0|187633.4|2||"Not Assigned"|0|27101493|3|118.0|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
166199954|"Bridge"|"10540730"|331627.0|188566.0|2||"Not Assigned"|0|27100238|3|1.4|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
165569171|"Car Park"|"10540736"|331524.0|187752.0|2||"Not Assigned"|0|27100480|3|22.1|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
166210273|"Bridge"|"10540730"|331734.0|188604.0|2||"Not Assigned"|0|27100238|3|0.1|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
95341335|"Irish Club"|"04250315"|331376.0|187409.0|1|100100658442|"osgb1000027569824"|5|27100377|1|15.7|"187-190"|"Commercial Road"|"Newport"|"Gwent"|"NP20 2PP"|"Casnewydd - Newport"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
