UNIQUE_REFERENCE_NUMBER,NAME,POINTX_CLASSIFICATION_CODE,FEATURE_EASTING,FEATURE_NORTHING,POSITIONAL_ACCURACY_CODE,UPRN,TOPOGRAPHIC_TOID,TOPOGRAPHIC_TOID_VERSION,USRN,USRN_MATCH_INDICATOR,DISTANCE,ADDRESS_DETAIL,STREET_NAME,LOCALITY,GEOGRAPHIC_COUNTY,POSTCODE,ADMINISTRATIVE_BOUNDARY,TELEPHONE_NUMBER,URL,BRAND,QUALIFIER_TYPE,QUALIFIER_DATA,PROVENANCE,DATE_OF_SUPPLY
64005611,Electricity Sub Station,6340433,292126.0,93282.0,2,,Not Assigned,0,14200418,3,2.8,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
64041140,Electricity Sub Station,6340433,291734.0,93174.0,2,,Not Assigned,0,14200941,3,10.9,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
68587634,Letter Box,6340457,292585.0,93281.0,1,,osgb1000002062265261,19,14200798,3,3.5,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
159788200,Electricity Sub Station,6340433,292545.0,93229.4,2,,Not Assigned,0,14200901,3,12.5,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
159863934,Mast (Telecommunication),6340443,292756.2,93238.2,2,,Not Assigned,0,14200757,3,18.1,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
166235283,Bridge,10540730,292252.0,93240.0,2,,Not Assigned,0,14200080,3,30.9,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
95435479,Crede,9460656,292166.9,92867.3,1,100041142068.0,osgb1000012318093,5,14200135,1,8.2,15-16,Castle Street,Exeter,Devon,EX4 3PT,Exeter District,,,,,,Local Data Company,01-SEP-2021
164214051,The Co-operative,2090811,292631.7,92974.9,1,10094201753.0,osgb1000002062221610,8,14200068,1,12.0,Unit 2,The Depot Belgrave Road,Exeter,Devon,EX1,Exeter District,,www.paypoint.co.uk,PayPoint,,,PayPoint,01-SEP-2021
108233730,Taste...Great Food,1020013,291895.0,92807.0,1,10013038866.0,osgb1000012291053,3,14200631,1,33.2,22 The Harlequin Centre,Paul Street,Exeter,Devon,EX4 3TT,Exeter District,,,,,,Local Data Company,01-SEP-2021
111300862,Shauls Bakery,9470661,291942.0,92656.0,1,10013039981.0,osgb1000012290366,3,14200389,3,45.4,17,Waterbeer Street,Exeter,Devon,EX4 3EH,Exeter District,,shauls.co.uk,Shauls Bakery,,,Local Data Company,01-SEP-2021
126936435,Istanbul Barber,2100156,292613.0,93106.0,1,10013039374.0,osgb1000012322961,6,14200757,1,13.3,134,Sidwell Street,Exeter,Devon,EX4 6RY,Exeter District,,,,,,Local Data Company,01-SEP-2021
141287039,Kaspa's,1020018,292009.9,92372.3,1,,osgb1000012320444,22,14200528,2,14.0,1,Market Street,Exeter,Devon,EX1 1BP,Exeter District,1392259851.0,kaspas.co.uk,Kaspa's,,,Local Data Company,01-SEP-2021
141445915,Wag's,2100156,291707.6,92359.2,1,100041225239.0,osgb1000002070862624,1,14200309,1,30.2,16 McCoys Arcade,Fore Street,Exeter,Devon,EX4 3AN,Exeter District,,,,,,Local Data Company,01-SEP-2021
141445825,Bliss Beauty,2100156,291993.0,92802.0,1,,osgb1000012290448,5,14200328,2,7.5,14a,Gandy Street,Exeter,Devon,EX4 3LS,Exeter District,,,,,,Local Data Company,01-SEP-2021
149636979,Ben's Farm Shop,9470669,292762.0,92381.6,1,100041225385.0,osgb1000012318613,3,14200513,1,11.7,57,Magdalen Road,Exeter,Devon,EX2 4TA,Exeter District,,,,,,Local Data Company,01-SEP-2021
161805180,Toast,9460656,292331.0,92928.0,1,100041045955.0,osgb1000012318199,7,14200757,1,40.3,1,Sidwell Street,Exeter,Devon,EX4 6NN,Exeter District,,www.toa.st/uk,Toast,,,Local Data Company,01-SEP-2021
161802532,Boden,9460656,292331.0,92928.0,1,100041045955.0,osgb1000012318199,7,14200757,1,40.3,1,Sidwell Street,Exeter,Devon,EX4 6NN,Exeter District,,www.boden.co.uk,Boden,,,Local Data Company,01-SEP-2021
163656880,Morrisons Daily,9470699,292567.0,93120.0,1,10013039418.0,osgb1000042780787,5,14200757,1,25.8,51,Sidwell Street,Exeter,Devon,EX4 6NS,Exeter District,,groceries.morrisons.com/webshop/startwebshop.do,Morrisons Daily,,,Local Data Company,01-SEP-2021
165436560,Redmayne Bentley LLP,2090773,292303.0,92586.0,1,100041123904.0,osgb1000012317708,4,14200773,2,13.5,"20, Southernhay West",City Centre,Exeter,Devon,EX1 1PJ,Exeter District,1392687230.0,www.redmayne.co.uk,Redmayne Bentley,,,Local Data Company,01-SEP-2021
165450239,Louie's,2100180,291993.0,92802.0,1,100041142227.0,osgb1000012290448,5,14200328,1,7.5,"Bliss Beauty, 14a, Gandy Street",City Centre,Exeter,Devon,EX4 3LS,Exeter District,,,,,,Local Data Company,01-SEP-2021
124105285,Thomas Benet Plaque,3200269,292673.0,92592.0,1,,osgb1000012317039,4,14200236,2,10.6,Exeter Protestant Martyrs' Memorial,Junction of Barnfield Road and Denmark Road,Exeter,Devon,EX1,Exeter District,,openplaques.org/plaques/13099,,Plaque Type,Not Specified,Open Plaques,01-SEP-2021
124105286,Franz Liszt Blue Plaque,3200269,292087.0,92646.0,4,,Not Assigned,0,14200137,2,15.8,Royal Clarence Hotel,Cathedral Yard,Exeter,Devon,EX1,Exeter District,,openplaques.org/plaques/13098,,Plaque Type,Blue,Open Plaques,01-SEP-2021
124106837,Exeter Bank Black Plaque,3200269,291930.0,92567.0,3,,Not Assigned,0,14200389,3,8.0,High St,,Exeter,Devon,EX4,Exeter District,,openplaques.org/plaques/30210,,Plaque Type,Black,Open Plaques,01-SEP-2021
124108167,"Romans and City Walls, Exeter Black Plaque",3200269,292263.0,92520.0,1,100041046169.0,osgb1000012317678,4,14200136,2,9.3,Southernhay Way / Cathedral Close,,Exeter,Devon,EX1,Exeter District,,openplaques.org/plaques/30708,,Plaque Type,Black,Open Plaques,01-SEP-2021
124109596,The Sisters Black Plaque,3200269,291711.0,92506.0,1,,osgb1000012290189,3,14202200,3,13.0,Carpenter Close,,Exeter,Devon,EX4,Exeter District,,openplaques.org/plaques/7301,,Plaque Type,Black,Open Plaques,01-SEP-2021
124109988,"Robert Vilvaine and Parish Church of All Hallows, Exeter Bronze Plaque",3200269,292026.0,92715.0,3,,Not Assigned,0,14200684,2,5.0,Queen Street / High Street,,Exeter,Devon,EX4,Exeter District,,openplaques.org/plaques/6804,,Plaque Type,Bronze,Open Plaques,01-SEP-2021
124109992,Peter Hennis Blue Plaque,3200269,292474.0,93015.0,1,,osgb1000002062272552,4,14200757,2,8.0,Sidwell Street,,Exeter,Devon,EX4,Exeter District,,openplaques.org/plaques/6796,,Plaque Type,Blue,Open Plaques,01-SEP-2021
124110834,"Roman Bathhouse, Exeter, Roman Basilica, Exeter, Roman Forum, Exeter, and Minster, Exeter Black Plaque",3200269,292008.0,92530.0,3,,Not Assigned,0,14200137,3,33.0,Near Cathedral,,Exeter,Devon,EX1,Exeter District,,openplaques.org/plaques/7766,,Plaque Type,Black,Open Plaques,01-SEP-2021
159228204,Wb Employment,2050078,292258.3,92453.6,1,10023119031.0,osgb1000012320535,6,14200773,1,14.5,Ground Floor 1,Southernhay West,Exeter,Devon,EX1 1JG,Exeter District,,,,,,Local Data Company,01-SEP-2021
152792080,The Locomotive Inn,1020034,292179.1,93079.3,1,10013048518.0,osgb1000012323973,6,14200580,1,16.9,"36-38, New North Road",City Centre,Exeter,Devon,EX4 4EP,Exeter District,1392275840.0,www.heavitreebrewery.co.uk,The Heavitree Brewery,,,Local Data Company,01-SEP-2021
152792083,Radiance Spa,4240293,291983.0,93124.0,1,10013046630.0,osgb1000002070668868,4,14200580,1,21.5,Augustus House,New North Road,Exeter,Devon,EX4 4HL,Exeter District,,,,,,Local Data Company,01-SEP-2021
157516507,Smith Denning,2100156,291738.0,92700.0,1,100041045227.0,osgb1000012290216,5,14200427,1,11.2,"6, Iron Bridge",City Centre,Exeter,Devon,EX4 3RB,Exeter District,,,,,,Local Data Company,01-SEP-2021
157516509,Little Drop of Poison,1020034,291782.0,92430.0,1,100041142037.0,osgb1000012292291,8,14200309,1,17.1,154,Fore Street,Exeter,Devon,EX4 3AT,Exeter District,,,,,,Local Data Company,01-SEP-2021
157516517,Fowler,2090147,292653.8,92374.0,1,100040222633.0,osgb1000012318643,4,14200513,1,12.5,15a,Magdalen Road,Exeter,Devon,EX2 4TA,Exeter District,,,,,,Local Data Company,01-SEP-2021
